     0,      0
     0,      x
     X,      x
     X,      X
-20352,      X
-20352,  -1568
-11444,  -1568
-11444,   6252
   870,   6252
   870,   2438
  2958,   2438
  2958,  -9260
 -6886,  -9260
 -6886, -18216
-18080, -18216
-18080, -14026
-21126, -14026
-21126,  -1176
-11852,  -1176
-11852,   6332
  -192,   6332
  -192,   -704
  1486,   -704
  1486, -12450
 -7246, -12450
 -7246, -19064
-18184, -19064
-18184, -14418
-20200, -14418
-20200,  -2792
-10564,  -2792
-10564,   4268
   -16,   4268
   -16,    798
  1190,    798
  1190, -11076
 -7390, -11076
 -7390, -17768
-18136, -17768
-18136, -12746
-19528, -12746
-19528,  -1632
 -9660,  -1632
 -9660,   4972
   558,   4972
   558,    510
  1190,    510
  1190, -11436
 -8086, -11436
 -8086, -18120
-18696, -18120
-18696, -12642
-20160, -12642
-20160,  -1552
-10092,  -1552
-10092,   4676
  -560,   4676
  -560,     22
  -456,     22
  -456, -11860
-10316, -11860
-10316, -17696
-20670, -17696
-20670, -11692
-21694, -11692
-21694,     38
-11316,     38
-11316,   5916
 -1712,   5916
 -1712,   1398
 -2024,   1398
 -2024, -10444
-11564, -10444
-11564, -15522
-21582, -15522
-21582,  -9108
-21478,  -9108
-21478,   2694
-10796,   2694
-10796,   8084
  -768,   8084
  -768,   2894
 -1544,   2894
 -1544,  -8996
-10900,  -8996
-10900, -14202
-20654, -14202
-20654,  -7446
-19936,  -7446
-19936,   3702
 -9092,   3702
 -9092,   8578
   502,   8578
   502,   2374
  -848,   2374
  -848,  -9500
-10860,  -9500
-10860, -14698
-20400, -14698
-20400,  -7526
-19784,  -7526
-19784,   3462
 -8804,   3462
 -8804,   7932
     0,   7932
     0,   1542
 -1872,   1542
 -1872, -10196
-12418, -10196
-12418, -14538
-21630, -14538
-21630,  -6902
-20598,  -6902
-20598,   4596
 -9388,   4596
 -9388,   8666
  -600,   8666
  -600,   2398
 -2872,   2398
 -2872,  -9220
-13098,  -9220
-13098, -12850
-21910, -12850
-21910,  -4846
-19808,  -4846
-19808,   6588
 -8372,   6588
 -8372,  10130
   678,  10130
   678,   3182
 -2056,   3182
 -2056,  -8412
-12124,  -8412
-12124, -12156
-20598, -12156
-20598,  -3864
-18008,  -3864
-18008,   6828
 -6486,   6828
 -6486,   9818
  1950,   9818
  1950,   1926
 -1336,   1926
 -1336,  -9572
-12084,  -9572
-12084, -13242
-20288, -13242
-20288,  -4598
-17904,  -4598
-17904,   5908
 -6318,   5908
 -6318,   8474
  1206,   8474
  1206,    478
 -2584,    478
 -2584, -10796
-13850, -10796
-13850, -13522
-21662, -13522
-21662,  -4470
-18912,  -4470
-18912,   6524
 -7174,   6524
 -7174,   8658
   238,   8658
   238,    886
 -3944,    886
 -3944, -10204
-14850, -10204
-14850, -12140
-22198, -12140
-22198,  -2792
-18440,  -2792
-18440,   8108
 -6574,   8108
 -6574,   9690
   998,   9690
   998,   1358
 -3624,   1358
 -3624,  -9636
-14330,  -9636
-14330, -11604
-21310, -11604
-21310,  -2032
-17112,  -2032
-17112,   8124
 -5246,   8124
 -5246,   9154
  1638,   9154
  1638,      6
 -3520,      6
 -3520, -10804
-14834, -10804
-14834, -12594
-21486, -12594
-21486,  -2720
-17504,  -2720
-17504,   7292
 -5670,   7292
 -5670,   7876
   294,   7876
   294,  -1216
 -5334,  -1216
 -5334, -11716
-17032, -11716
-17032, -12474
-23246, -12474
-23246,  -2256
-18848,  -2256
-18848,   8234
 -6942,   8234
 -6942,   8378
 -1056,   8378
 -1056,   -384
 -7046,   -384
 -7046, -10620
-18240, -10620
-18240, -10540
-23950, -10540
-23950,    -96
-18504,    -96
-18504,  10234
 -6550,  10234
 -6550,   9826
  -496,   9826
  -496,    566
 -6894,    566
 -6894,  -9492
-17760,  -9492
-17760,  -9436
-23046,  -9436
-23046,   1174
-17152,   1174
-17152,  10698
 -5286,  10698
 -5286,   9738
    86,   9738
    86,   -256
 -6798,   -256
 -6798, -10052
-18136, -10052
-18136,  -9796
-23054,  -9796
-23054,   1046
-17336,   1046
-17336,  10362
 -5566,  10362
 -5566,   8970
 -1088,   8970
 -1088,   -912
 -8388,   -912
 -8388, -10332
-19944, -10332
-19944,  -9060
-24390,  -9060
-24390,   2054
-18200,   2054
-18200,  11722
 -6454,  11722
 -6454,   9898
 -2000,   9898
 -2000,    350
 -9620,    350
 -9620,  -8732
-20526,  -8732
-20526,  -6718
-24422,  -6718
-24422,   4548
-17184,   4548
-17184,  13904
 -5470,  13904
 -5470,  11538
  -880,  11538
  -880,   1454
 -8852,   1454
 -8852,  -7374
-19360,  -7374
-19360,  -5486
-22806,  -5486
-22806,   5868
-15194,   5868
-15194,  14272
 -3632,  14272
 -3632,  11362
   214,  11362
   214,    566
 -8188,    566
 -8188,  -7942
-19120,  -7942
-19120,  -5902
-22158,  -5902
-22158,   5612
-14786,   5612
-14786,  13696
 -3408,  13696
 -3408,  10370
  -488,  10370
  -488,   -296
 -9260,   -296
 -9260,  -8364
-20352,  -8364
-20352,  -5382
-22870,  -5382
-22870,   6324
-15114,   6324
-15114,  14640
 -3816,  14640
 -3816,  10890
 -1008,  10890
 -1008,    558
-10020,    558
-10020,  -7126
-20440,  -7126
-20440,  -3480
-22390,  -3480
-22390,   8290
-13706,   8290
-13706,  16168
 -2528,  16168
 -2528,  11890
   310,  11890
   310,   1054
 -8996,   1054
 -8996,  -6326
-19040,  -6326
-19040,  -2832
-20526,  -2832
-20526,   8930
-11620,   8930
-11620,  15808
  -688,  15808
  -688,  11010
  1302,  11010
  1302,   -456
 -8388,   -456
 -8388,  -7446
-18872,  -7446
-18872,  -3816
-19944,  -3816
-19944,   8036
-11396,   8036
-11396,  14576
  -728,  14576
  -728,   9386
   254,   9386
   254,  -1800
 -9732,  -1800
 -9732,  -8316
-20328,  -8316
-20328,  -3696
-20870,  -3696
-20870,   8250
-12044,   8250
-12044,  15024
 -1536,  15024
 -1536,   9434
  -704,   9434
  -704,  -1296
-10876,  -1296
-10876,  -7382
-20766,  -7382
-20766,  -2080
-20742,  -2080
-20742,   9842
-11084,   9842
-11084,  16176
  -768,  16176
  -768,  10090
    38,  10090
    38,  -1024
-10364,  -1024
-10364,  -6758
-19856,  -6758
-19856,  -1584
