     0,      0
     X,      0
     X,      X
  6868,      X
  6868,  -7438
  4932,  -7438
  4932,  -9668
  1774,  -9668
  1774, -11300
 -2048, -11300
 -2048, -11404
 -5390, -11404
 -5390,  -9908
 -7526,  -9908
 -7526,  -7622
 -8684,  -7622
 -8684,  -5462
 -9636,  -5462
 -9636,  -3664
-10788,  -3664
-10788,  -1616
-11684,  -1616
-11684,   1310
-11388,   1310
-11388,   4964
 -9444,   4964
 -9444,   8362
 -6398,   8362
 -6398,  10514
 -3304,  10514
 -3304,  11234
  -832,  11234
  -832,  11210
  1270,  11210
  3726,  11210
  3726,  11234
  6804,  11234
  6804,  10546
  9866,  10546
  9866,   8426
 11850,   8426
 11850,   5052
 12178,   5052
 12178,   1390
 11306,   1390
 11306,  -1560
 10146,  -1560
 10146,  -3624
  9194,  -3624
  9194,  -5422
  8052,  -5422
  8052,  -7566
  5940,  -7566
  5940,  -9868
  2622,  -9868
  2622, -11396
 -1200, -11396
 -1200, -11324
 -4382, -11324
 -4382,  -9724
 -6342,  -9724
 -6342,  -7494
 -7430,  -7494
 -7430,  -5502
 -8428,  -5502
 -8428,  -3808
 -9628,  -3808
 -9628,  -1736
-10428,  -1736
-10428,   1254
 -9924,   1254
 -9924,   4860
 -7790,   4860
 -7790,   8036
 -4710,   8036
 -4710,   9858
 -1760,   9858
 -1760,  10330
   550,  10330
   550,  10202
  2598,  10202
  2598,  10162
  5084,  10162
  5084,  10074
  8148,  10074
  8148,   9130
 11034,   9130
 11034,   6724
 12680,   6724
 12680,   3182
 12680,   -464
 11610,   -464
 11610,  -3296
 10386,  -3296
 10386,  -5286
  9362,  -5286
  9362,  -7142
  8020,  -7142
  8020,  -9364
  5620,  -9364
  5620, -11628
  2054, -11628
  2054, -12938
 -1832, -12938
 -1832, -12594
 -4926, -12594
 -4926, -10820
 -6798, -10820
 -6798,  -8572
 -7910,  -8572
 -7910,  -6630
 -9036,  -6630
 -9036,  -4902
-10324,  -4902
-10324,  -2672
-11060,  -2672
-11060,    494
-10372,    494
-10372,   4156
 -8110,   4156
 -8110,   7204
 -5054,   7204
 -5054,   8842
 -2264,   8842
 -2264,   9218
  -112,   9218
  -112,   9138
  1894,   9138
  1894,   9186
  4428,   9186
  4428,   9098
  7484,   9098
  7484,   8020
 10178,   8020
 10178,   5468
 11522,   5468
 11522,   1910
 11258,   1910
 11258,  -1560
 10074,  -1560
 10074,  -4150
  8850,  -4150
  8850,  -5982
  7804,  -5982
  7804,  -7782
  6324,  -7782
  6324,  -9964
  3702,  -9964
  3702, -12052
    14, -12052
    14, -13042
 -3816, -13042
 -3816, -12330
 -6710, -12330
 -6710, -10316
 -8396, -10316
 -8396,  -7990
 -9444,  -7990
 -9444,  -6022
-10588,  -6022
-10588,  -4174
-11812,  -4174
-11812,  -1720
-12330,  -1720
-12330,   1670
-11340,   1670
-11340,   5388
 -8828,   5388
 -8828,   8330
 -5702,   8330
 -5702,   9810
 -2952,   9810
 -2952,  10122
  -808,  10122
  -808,  10106
  1310,  10106
  1310,  10242
  4030,  10242
  4030,  10114
  7180,  10114
  7180,   8866
  9794,   8866
  9794,   6148
 10954,   6148
 10954,   2566
 10570,   2566
 10570,   -752
  9418,   -752
  9418,  -3160
  8322,  -3160
  8322,  -4902
  7348,  -4902
  7348,  -6742
  5820,  -6742
  5820,  -8948
  3094,  -8948
  3094, -10924
  -608, -10924
  -608, -11652
 -4246, -11652
 -4246, -10692
 -6854, -10692
 -6854,  -8564
 -8292,  -8564
 -8292,  -6286
 -9228,  -6286
 -9228,  -4398
-10316,  -4398
-10316,  -2536
-11412,  -2536
-11412,     30
-11644,     30
-11644,   3502
-10300,   3502
-10300,   7124
 -7534,   7124
 -7534,   9802
 -4342,   9802
 -4342,  11002
 -1624,  11002
 -1624,  11138
   526,  11138
   526,  11082
  2782,  11082
  2782,  11154
  5660,  11154
  5660,  10826
  8850,  10826
  8850,   9266
 11338,   9266
 11338,   6268
 12274,   6268
 12274,   2574
 11738,   2574
 11738,   -712
 10578,   -712
 10578,  -3064
  9554,  -3064
  9554,  -4862
  8570,  -4862
  8570,  -6854
  6892,  -6854
  6892,  -9180
  3974,  -9180
  3974, -11116
   206, -11116
   206, -11676
 -3328, -11676
 -3328, -10572
 -5742, -10572
 -5742,  -8444
 -7062,  -8444
